assumption_id,category,parameter_name,symbol_or_field,scope_or_key,value_numeric,value_text,unit,sensitivity_low,sensitivity_high,formula_or_rule,evidence_classification,source_title,source_url,source_path,source_locator,rationale,applicability,limitation,uncertainty_treatment,accessed_on
scope.model_topology,scope,Thermal network,model_topology,global,,single-zone 5R1C,,,,,user_scope_decision,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,Clause 12.2 and Annex C,"The ISO simple hourly method provides a transparent, low-order model suitable for dwelling-archetype Monte Carlo simulation.",All simulations,Inter-room temperature differences and zone-specific solar gains are not represented.,Fixed in the central case,2026-07-29
scope.end_uses,scope,Modelled end uses,end_uses,global,,space heating and sensible space cooling,,,,,user_scope_decision,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,Title and Clause 1,Matches the thesis demand-model scope.,All simulations,"Domestic hot water, latent cooling, humidity, and HVAC auxiliaries are excluded.",Fixed in the central case,2026-07-29
scope.standard_basis,scope,Calculation-method basis,standard_basis,global,,ISO 13790:2008 simple hourly method,,,,,method_selection,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,Annex C,This is the published 5R1C formulation used by the thesis.,All simulations,ISO 13790:2008 is withdrawn and superseded by ISO 52016-1:2017; the older method is retained deliberately for transparent 5R1C comparability.,Fixed in the central case,2026-07-29
solver.timestep,solver,Simulation time step,dt,global,3600,,s,,,,normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C, simple hourly method","Matches hourly weather, occupancy, electricity, and demand outputs.",All simulations,,Fixed in the central case,2026-07-29
solver.integration,solver,Mass-node integration,integration_scheme,global,,Crank-Nicolson,,,,,normative_method,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C.3, Eq. C.4 to C.11",Uses the standard centred one-hour update for the thermal-mass node.,All simulations,,Fixed in the central case,2026-07-29
solver.controller,solver,Heating/cooling controller,controller,global,,ideal unlimited load,,,,,user_scope_decision,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,Annex C.4,"Demand is the power needed to maintain the setpoint, independent of emitter or plant sizing.",All simulations,"Capacity limits, cycling, ramp rates, distribution losses, and plant efficiency are outside the thermal-demand model.",Fixed in the central case,2026-07-29
solver.test_load,solver,Ideal-load interpolation test power density,phi_HC_nd_10_per_Af,global,10,,W/m2,,,,normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C.4, Eq. C.13",ISO test load used to linearly interpolate the unrestricted load required to reach the setpoint.,All simulations,,Fixed in the central case,2026-07-29
solver.load_sign,solver,Internal load sign convention,phi_HC_nd,global,,heating positive; cooling negative,,,,,model_assumption,,,,,Matches the ISO balance equations and keeps a single signed heat-flow variable.,Internal solver,Published heating_demand_W and cooling_demand_W outputs must be separate non-negative series.,Fixed in the central case,2026-07-29
solver.warmup_initial,solver,First-pass initial mass temperature,theta_m_initial,global,20,,degC,,,,model_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1 (20 degC reference internal temperature)",A neutral residential initial condition is required only to start cyclic convergence.,All simulations,,Fixed in the central case,2026-07-29
solver.warmup_method,solver,Initial-condition removal,warmup_method,global,,repeat the complete weather year to a periodic mass-node state,,,,"After each pass, use theta_m,end as the next theta_m,initial; accept when abs(theta_m,end - theta_m,initial) <= tolerance.",model_assumption,,,,,Makes annual results independent of the arbitrary first-pass temperature without discarding calendar hours.,All simulations,Assumes the reference year repeats periodically.,Fixed in the central case,2026-07-29
solver.warmup_tolerance,solver,Periodic mass-temperature tolerance,warmup_tolerance,global,0.01,,K,,,,numerical_assumption,,,,,A tight scalar-state tolerance makes residual initialization effects negligible relative to other uncertainties.,All simulations,,Fixed in the central case,2026-07-29
solver.warmup_max_cycles,solver,Maximum yearly warm-up cycles,warmup_max_cycles,global,10,,year cycles,,,,numerical_assumption,,,,,A guard against non-convergence; a 5R1C dwelling should converge far sooner.,All simulations,"Failure to converge is a hard validation error, not a silently accepted result.",Fixed in the central case,2026-07-29
solver.leap_year,solver,Calendar-length handling,n_timesteps,global,,accept 8760 or 8784 hourly records,,,,Weather and all schedules must have identical timestamps and length; do not drop February 29 silently.,model_assumption,,,,,Preserves alignment between climate and behavioural inputs.,All simulations,,Fixed in the central case,2026-07-29
control.temperature_node,control,Controlled temperature,theta_air,global,,indoor air temperature,,,,,normative_method,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,Annex C.4,The standard ideal-load procedure directly tests the air-temperature setpoint.,All simulations,"Operative-temperature comfort is reported separately, not controlled in the central case.",Fixed in the central case,2026-07-29
control.heating_reference,control,Reference heating setpoint,theta_set_heat,global,20,,degC,,,,TABULA_reference_assumption,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1",Provides the deterministic validation default.,Validation runs; production schedule is supplied hourly,,Replace with the occupancy-based schedule in the behavioural wrapper.,2026-07-29
control.cooling_reference,control,Reference cooling setpoint,theta_set_cool,global,26,,degC,,,,normative_reference_value,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex G, Table G.12, residential examples",Provides an explicit sensible-cooling default for deterministic tests.,Validation runs; production schedule may be supplied hourly,,Treat occupant cooling preference as a later behavioural uncertainty if included.,2026-07-29
control.setpoint_invariant,control,Setpoint dead-band invariant,setpoint_validation,global,,theta_set_heat <= theta_set_cool,,,,Reject any hour for which theta_set_heat > theta_set_cool.,physical_invariant,,,,,Prevents simultaneous heating and cooling demand.,All simulations,,Fixed in the central case,2026-07-29
output.operative_weight_air,output,Operative-temperature air weight,w_air,global,0.3,,1,,,,normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C, Eq. C.12",Supports a comfort-oriented diagnostic output.,All simulations,,Fixed in the central case,2026-07-29
output.operative_weight_surface,output,Operative-temperature surface weight,w_surface,global,0.7,,1,,,theta_op = 0.3 * theta_air + 0.7 * theta_s,normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C, Eq. C.12",Completes the operative-temperature diagnostic definition.,All simulations,,Fixed in the central case,2026-07-29
network.total_surface_ratio,5R1C_network,Total internal surface-area ratio,A_t / A_f,global,4.5,,m2/m2,,,A_t = 4.5 * A_f,normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Clause 7.2.2.2, Eq. 9",ISO default when detailed internal surface areas are unavailable.,All simulations,,Fixed in the central case,2026-07-29
network.air_surface_coefficient,5R1C_network,Air-to-surface heat-transfer coefficient,h_is,global,3.45,,W/m2K,,,"H_tr,is = h_is * A_t",normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Clause 7.2.2.2, Eq. 9",Required conductance for the air/surface branch.,All simulations,,Fixed in the central case,2026-07-29
network.mass_class,thermal_mass,Central thermal-mass class,mass_class,global,,medium,,,,,derived_mapping,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Page 7, Table 1 (45 Wh/m2K); cross-check ISO 13790 Table 12","TABULA's 45 Wh/m2K equals 162,000 J/m2K, closely matching the ISO medium class at 165,000 J/m2K.",All simulations,"Belgian archetypes do not identify construction mass class, so one stock-wide central class is used.",Sensitivity range spans ISO light to heavy classes.,2026-07-29
network.mass_capacitance_ratio,thermal_mass,Effective thermal capacitance per floor area,C_m / A_f,global,165000,,J/m2K,110000,260000,C_m = 165000 * A_f,normative_class_value,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Table 12, medium class; light and heavy classes bound sensitivity",Defines thermal inertia consistently with the selected medium class.,All simulations,,"Use 110,000 J/m2K (light) and 260,000 J/m2K (heavy) as deterministic sensitivity cases.",2026-07-29
network.effective_mass_area_ratio,thermal_mass,Effective mass-area ratio,A_m / A_f,global,2.5,,m2/m2,2.5,3,A_m = 2.5 * A_f,normative_class_value,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Table 12, medium class; heavy class gives 3.0",Required to divide radiative gains and construct the mass branch.,All simulations,,Use the class-consistent value: 2.5 for light/medium and 3.0 for heavy.,2026-07-29
network.mass_surface_coefficient,5R1C_network,Mass-to-surface heat-transfer coefficient,h_ms,global,9.1,,W/m2K,,,"H_tr,ms = h_ms * A_m",normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Clause 12.2.2, Eq. 64",Required conductance between the surface and mass nodes.,All simulations,,Fixed in the central case,2026-07-29
network.window_conductance,5R1C_network,Window transmission conductance,"H_tr,w",global,,derived per archetype,W/K,,,"H_tr,w = U_window * A_window,total",derived_from_project_input,Belgian national base physical archetype matrix,,BE_building_stock/data/matrices/national/base_physical_archetype_matrix.csv,U_window_W_m2K and windows_total_m2 columns,Windows form the ISO direct air/surface transmission branch.,All simulations,Doors remain in the opaque branch because no separate lightweight-door treatment is supported by the archetype data.,Fixed in the central case,2026-07-29
network.opaque_conductance,5R1C_network,Corrected opaque transmission conductance,"H_tr,op",global,,derived per archetype,W/K,,,"H_tr,op = sum_i(A_i * b_tr,i / (1/U_i + R_add,i)) for opaque exterior, ground, and unheated-space elements",derived_from_project_input,TABULA Calculation Method — Energy Use for Heating and Domestic Hot Water,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,,"Pages 9–10, Eq. 4, Table 2, and effective U-value definition",Applies the TABULA boundary corrections before constructing the ISO mass branch.,All simulations,,Fixed in the central case,2026-07-29
network.external_mass_conductance,5R1C_network,Exterior-to-mass equivalent conductance,"H_tr,em",global,,derived per archetype,W/K,,,"H_tr,em = 1 / (1/H_tr,op - 1/H_tr,ms)",normative_equation,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C, Eq. C.4 network definitions",Completes the 5R1C opaque-envelope branch.,All simulations,"Require H_tr,op < H_tr,ms; otherwise raise a parameter-validation error.",Fixed in the central case,2026-07-29
network.gain_air_fraction,gain_splitting,Internal gains delivered directly to air,Phi_ia / Phi_int,global,0.5,,1,,,Phi_ia = 0.5 * Phi_int,normative_constant,ISO 13790:2008 — Energy performance of buildings — Calculation of energy use for space heating and cooling,https://www.iso.org/standard/41974.html,,"Annex C.2, Eq. C.1",ISO split for the 5R1C simple hourly method.,All simulations,,Fixed in the central case,2026-07-29
