assumption_id,value_numeric,value_text,unit,source_title,source_url,source_locator,rationale,limitation,accessed_on
software.richardsonpy_version,,0.2.2,1,richardsonpy 0.2.2,https://pypi.org/project/richardsonpy/0.2.2/,Release 0.2.2,Pin the exact stochastic dependency used for generated profiles.,A future package upgrade requires re-verification before changing this value.,2026-08-04
solver.native_timestep_seconds,60,,s,richardsonpy source repository,https://github.com/RWTH-EBC/richardsonpy,ElectricLoad native timestep,Run the stochastic model at its native one-minute resolution before energy-conserving hourly averaging.,The thermal core remains hourly.,2026-08-04
solver.clock_basis,,fixed_CET_UTC_plus_1_periodic_no_DST,1,ISO 13790:2008,https://www.iso.org/standard/41974.html,Hourly user schedules,Fixed Belgian standard time gives one reproducible 24-hour clock for every synthetic day and preserves a complete UTC year after cyclic alignment.,Daylight-saving transitions are deliberately not represented.,2026-08-04
solver.month_index_correction,,true,1,richardsonpy source repository,https://github.com/RWTH-EBC/richardsonpy/blob/v0.2.2/richardsonpy/classes/stochastic_el_load_wrapper.py,_get_month and power_sim,Correct the upstream zero-based day call and pass the actual leap-year flag under a local lock.,This compatibility correction must be rechecked if the pinned dependency changes.,2026-08-04
electricity.annual_reference_kWh,3500,,kWh/year,CREG Study F2223,https://www.creg.be/fr/publications/etude-f2223,Residential electricity benchmark,Use the Belgian regulator's 3500 kWh/year residential benchmark and retain RichardsonPy's stochastic temporal shape.,This is a regulatory comparison benchmark rather than a dwelling-type or occupant-count conditional empirical mean.,2026-08-04
electricity.prev_heat_dev,,true,1,richardsonpy source repository,https://github.com/RWTH-EBC/richardsonpy,ElectricLoad prev_heat_dev,Exclude electric space-heating and hot-water devices because both are outside this behavioural-gain layer.,The remaining appliance library is inherited from the Richardson model.,2026-08-04
electricity.randomize_appliances,,true,1,Richardson et al. 2010,https://doi.org/10.1016/j.enbuild.2010.05.023,Stochastic appliance ownership,Retain household-to-household appliance diversity controlled by the single wrapper seed.,Appliance ownership inputs originate from the UK model.,2026-08-04
electricity.light_config,0,,1,richardsonpy source repository,https://github.com/RWTH-EBC/richardsonpy,ElectricLoad light_config,Use the package's documented default lighting configuration.,Lighting-stock detail is not sampled separately.,2026-08-04
electricity.season_light_mod,,false,1,richardsonpy source repository,https://github.com/RWTH-EBC/richardsonpy,ElectricLoad season_light_mod,Disable the synthetic seasonal modifier because lighting already receives the selected climate member's irradiance.,Lighting behaviour still depends stochastically on occupancy and irradiance thresholds.,2026-08-04
electricity.appliance_sensible_fraction,1,,1,ISO 13790:2008,https://www.iso.org/standard/41974.html,Internal heat gains from appliances,Treat generated non-heating non-DHW appliance electricity as heat released inside the single conditioned zone.,Drain losses latent cooking gains and appliances outside the conditioned zone are not resolved.,2026-08-04
electricity.lighting_sensible_fraction,1,,1,ISO 13790:2008,https://www.iso.org/standard/41974.html,Internal heat gains from lighting,All lighting electricity ultimately becomes sensible heat in the conditioned zone.,No separate radiant-convective split is applied before the ISO 5R1C gain allocation.,2026-08-04
occupancy.maximum_supported_count,5,,persons,richardsonpy source repository,https://github.com/RWTH-EBC/richardsonpy,Occupancy constructor,Respect the package's transition-matrix limit of five occupants.,Census households with six or more residents are represented by the five-or-more bin and simulated as five.,2026-08-04
occupancy.hourly_state_rule,,any_active_10min,1,Richardson et al. 2008,https://doi.org/10.1016/j.enbuild.2008.02.006,Active-occupancy model,Mark an hour active when at least one ten-minute interval contains an active occupant; use the hourly mean count for metabolic heat.,Active occupancy does not distinguish sleeping at home from absence.,2026-08-04
occupancy.metabolic_sensible_W_person,70,,W/person,ISO 13790:2008,https://www.iso.org/standard/41974.html,Annex G average heat flow per person,Use the ISO average sensible heat flow for an active person.,Latent metabolic heat and inactive or sleeping presence are outside the sensible active-occupancy proxy.,2026-08-04
control.heating_active_C,20,,degC,TABULA Common Calculation Method,https://episcope.eu/fileadmin/tabula/public/docs/report/TABULA_CommonCalculationMethod.pdf,Table 1 indoor temperature,Retain the deterministic validation heating reference while the household is active.,This is a supervisory setpoint assumption rather than a RichardsonPy output.,2026-08-04
control.heating_inactive_C,18,,degC,SETIS Magazine Energy Efficiency in Buildings,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC118104/setis_magazine_21_2019_energy_efficiency_in_buildings_web.pdf,Page 31 day/night setpoints,Apply a modest 2 K inactive setback because zero active occupants may include sleep as well as absence.,No preheating or thermostat hysteresis is represented.,2026-08-04
control.cooling_C,26,,degC,EN ISO 13790:2008,https://www.iso.org/standard/41974.html,Hourly setpoint schedule input,Keep the Gate-3 central cooling setpoint fixed so Gate 4 does not invent stochastic cooling adoption.,Cooling ownership and adaptive comfort remain outside the central model.,2026-08-04
validation.annual_electricity_tolerance_kWh,0.000001,,kWh/year,Implementation acceptance criterion,https://github.com/RWTH-EBC/richardsonpy,ElectricLoad normalization,Require energy-conserving hourly aggregation to reproduce the normalized annual target to numerical precision.,This is a numerical tolerance not an empirical uncertainty band.,2026-08-04
