field,definition,formula,evidence_or_assumption
q50_m3_h,Envelope airflow measured at 50 Pa,q50 = v50 * A_env,TABULA/VITO reports v50 in m3/(h m2) of envelope area.
n50_h_1,Air changes at 50 Pa,n50 = q50 / V,Protected volume V comes from TABULA/VITO Table 19.
infiltration_ach_normal_h_1,Annual-average natural infiltration proxy under normal pressure conditions,n_inf = n50 / 20,The fixed n-factor 20 is the Kronvall-Persily screening rule documented by AIVC and Sherman; climate height shielding and leakage distribution remain sensitivity dimensions.
infiltration_airflow_normal_m3_h,Annual-average infiltration airflow proxy under normal pressure conditions,Vdot_inf = q50 / 20,The same n-factor conversion is applied consistently to every physical state.
transmission_heat_loss_H_tr_W_K,Envelope transmission heat-loss coefficient,H_tr = U_roof*A_roof + U_facade*(A_wall+A_wall_unheated) + U_floor*(A_floor_soil+A_floor_unheated) + U_window*A_window + U_door*A_door,The screening calculation uses the TABULA areas directly; thermal bridges and boundary reduction factors enter the later thermal model.
infiltration_heat_loss_H_inf_W_K,Infiltration heat-loss coefficient,H_inf = rho_air*cp_air*Vdot_inf/3600,The model uses rho_air=1.2 kg/m3 and cp_air=1005 J/(kg K).
specific_heat_loss_z_W_m2K,Simplified archetype-level renovation-priority metric,z = (H_tr + H_inf) / A_floor,Higher z ranks cells with larger transmission and screening infiltration loss per square metre; climate gains controls thermal mass and detailed ventilation enter the later thermal model.
priority_rank_within_region,Deterministic transition order,descending current-state z; then physical-state order and TABULA type number for ties,Medium transitions rank pre-2006 TABULA_existing cells; advanced transitions rank every TABULA_existing and TABULA_standard_B_proxy cell.
annualRenovations,Nominal annual regional activity for renovation depth d,annualRenovations(r d) = ARR * depthShare(d) * N(r 2025),This is the proportional regional disaggregation of the national quota ARR * depthShare(d) * N(BE 2025); ARR uses the fixed 2025 R1-R4 stock denominator.
nominalRenovationsTo2050,Nominal cumulative activity through 2050,nominalRenovationsTo2050 = annualRenovations * 25,The national policy projection holds ARR and the 40/50/10 depth distribution constant from 2026 through 2050.
appliedRenovationsTo2050,Cumulative physical-state transitions after annual eligibility limits,Sum of annual allocations from 2026 through 2050,Advanced transitions run before medium transitions each year; unused depth quotas remain within their own depth.
shallow_activity,Federal shallow renovation depth represented by the TABULA as-is state,Recorded in activity totals with zero physical-state transition,TABULA provides no separate shallow envelope package.
medium_transition,Federal medium renovation depth represented by TABULA standard refurbishment,Pre-2006 TABULA_existing to TABULA_standard_B_proxy,Post-2005 existing archetypes already achieve the VITO EPB2010 package and remain outside medium-transition eligibility.
advanced_transition,Federal advanced renovation depth represented by TABULA low-energy refurbishment,TABULA_existing or TABULA_standard_B_proxy to TABULA_advanced_A_proxy,The federal deep category is mapped to the Belgian TABULA Low Energy envelope package.
transition_event,One applied physical state change,Existing-to-standard existing-to-advanced or standard-to-advanced,Event totals can exceed unique renovated dwellings because a dwelling can progress from existing to standard and later to advanced.
minimum_repeat_transition_events,Lower bound on dwellings receiving both medium and later advanced transitions,For each archetype max(0 standard-to-advanced events minus initial standard dwellings),The cohort identity within the aggregated standard state is unavailable; the model reports a guaranteed lower bound rather than an exact unique-dwelling count.
independence_null_assumption,Allocation of regional state marginals and their bounds to archetypes,"P(S=s | region=r archetype=a) = P(S=s | region=r)",The categorical row-column independence form is declared because a representative Belgian region-by-archetype-by-state joint table is unavailable.
rounding_interval,Source-precision interval around each reported A or B share,reported share plus or minus half the printed unit; Existing = 1 - B - A,Flemish Brussels and Walloon reported-share half-widths are 0.5 0.005 and 0.05 percentage points respectively; the residual bounds are correlated with A and B.
